operation,base_url,endpoint,summary,description,operationId
get,eea,/logos,Get all logos,"Logos are used for the catalog, the groups logos, and harvester icons. Logos are stored in the data directory in <dataDirectory>/resources/images/harvesting.<br/> Records are attached to a source. A source can be the local catalog or a harvester node. When a source is created, its logo is located in the images/logos folder with the source UUID as filename. For some sources the logo can be automatically retrieved (eg. when harvesting GeoNetwork catalogs). For others, the logo is usually manually defined when configuring the harvester.",getLogos
post,eea,/logos,Add a logo,,addLogo
put,eea,/records/submit,Set the records status to submitted,,submit
put,eea,/records/templates,Add templates,Add template records for one or more schemas. Templates are defined for each standard in the template folder as XML files. Template may also contains subtemplates.,addTemplates
get,eea,/records/{metadataUuid}/status/workflow/last,Get last workflow status for a record,,getStatus
get,eea,/i18n/db/custom,List custom user translations,,getCustomTranslations
post,eea,/records/importfrommap,Add a map metadata record from OGC OWS context,Add record in the catalog by uploading a map context.,insertOgcMapContextFile
get,eea,/languages/application,Get languages available in the application,Languages available in this version of the application. Those that you can add using PUT operation and which have SQL script to initialize the language.,getApplicationLanguages
get,eea,/records/{metadataUuid}/status,Get record status history,,getRecordStatusHistory
put,eea,/records/{metadataUuid}/status,Set the record status,,setStatus
delete,eea,/records/{metadataUuid}/status,Delete all record status,,deleteAllRecordStatus
get,eea,/records/{metadataUuid}/tags,Get record tags,Tags are used to classify information.<br/><a href='http://geonetwork-opensource.org/manuals/trunk/eng/users/user-guide/tag-information/tagging-with-categories.html'>More info</a>,getRecordTags
put,eea,/records/{metadataUuid}/tags,Add tags to a record,,tagRecord
delete,eea,/records/{metadataUuid}/tags,Delete tags of a record,,deleteTags
get,eea,/i18n/packages,Get list of translation packages.,,getTranslationsPackage_1
get,eea,/records/{metadataUuid}/userfeedback,Finds a list of user feedback for a specific records. , This list will include also the draft user feedback if the client is logged as reviewer.,getUserCommentsOnARecord
get,eea,/users/groups,Retrieve all user groups,,retrieveAllUserGroups
get,eea,/status/{type},Get status by type,,getStatusByType
get,eea,/records/pdf,Get a set of metadata records as PDF,"The PDF is a short summary of each records with links to the complete metadata record in different format (ie. landing page on the portal, XML)",exportAsPdf
get,eea,/processes/db/search-and-replace,Preview of search and replace text.," When errors occur during processing, the processing report is returned in JSON format.",previewProcessSearchAndReplace
post,eea,/processes/db/search-and-replace,Apply a database search and replace to one or more records,Process a metadata with an XSL transformation declared in the metadata schema (See the process folder). Parameters sent to the service are forwarded to XSL process.,processSearchAndReplace
put,eea,/records/{metadataUuid}/ownership,Set record group and owner,,setRecordOwnership
put,eea,/records/unpublish,Un-publish one or more records,See record sharing for more details.,unpublish_1
get,eea,/sources/{type},Get all sources by type,"Sources are the local catalogue, subportal, external catalogue (when importing MEF files) or harvesters.",getSourcesByType
get,eea,/reports/metadataupdated,Get the updated metadata during a period.,,getReportUpdatedMetadata
get,eea,/eealayoutupdate/head,Get EEA <head> content,,getHead
get,eea,/site/index/commit,Index commit,,indexCommit
put,eea,/site/index/commit,Force to commit pending documents in index.,May be used when indexing task is hanging.,commitIndexChanges
get,eea,/standards,Get standards,,getStandardConfigurations
post,eea,/records/{metadataUuid}/status/{statusId}.{userId}.{changeDate}/restore,Restore saved content from a status record,,restoreAtStatusSave
get,eea,/standards/{schema}/batchconfiguration,Get batch editor configuration for a standard,,getConfiguration
get,eea,/standards/{schema}/descriptors/{element}/details,Get descriptor details,,getElementDetails
get,eea,/reports/datadownloads,Get list of metadata file downloads,,getReportDataDownloads
get,eea,/tags/{tagIdentifier},Get a tag,,getTag
put,eea,/tags/{tagIdentifier},Update a tag,,updateTag
delete,eea,/tags/{tagIdentifier},Remove a tag,,deleteTag
get,eea,/records/index,Index a set of records,Index a set of records provided either by a bucket or a list of uuids,index
post,eea,/mapservers/{mapserverId}/auth,Update a mapserver authentication,The remote mapserver REST API may require basic authentication. This operation set the username and password.,updateMapserver
get,eea,/records/{metadataUuid},Get a metadata record,"Depending on the accept header the appropriate formatter is used. When requesting a ZIP, a MEF version 2 file is returned. When requesting HTML, the default formatter is used.",getRecord
delete,eea,/records/{metadataUuid},Delete a record,"User MUST be able to edit the record to delete it. By default, a backup is made in ZIP format. After that, the record attachments are removed, the document removed from the index and then from the database.",deleteRecord
get,eea,/registries/crs,Search coordinate reference system (CRS),"Based on GeoTools EPSG database. If phrase query, each words are searched separately.",searchCrs
get,eea,/standards/reload,Reload standards,,reloadSchema
get,eea,/records/{metadataUuid}/formatters/xml,Get a metadata record as XML or JSON,,getRecordAs
get,eea,/records/{metadataUuid}/formatters/json,Get a metadata record as XML or JSON,,getRecordAs_1
get,eea,/records/csv,Get a set of metadata records as CSV,The CSV is a short summary of each records.,exportAsCsv
get,eea,/atom/describe/service/{metadataUuid},Describe service,,describe
post,eea,/search/records/_search,Search endpoint,See https://www.elastic.co/guide/en/elasticsearch/reference/current/query-dsl.html for search parameters details.,search
put,eea,/records/batchediting,Edit a set of records by XPath expressions. This operations applies the update-fixed-info.xsl transformation for the metadata schema and updates the change date if the parameter updateDateStamp is set to true.,,batchEdit
get,eea,/ui,Get UI configuration,,getUiConfigurations
put,eea,/ui,Create a UI configuration,,putUiConfiguration
get,eea,/eealayoutupdate/refreshtemplate,Refresh EEA Template from API,refreshtemplate,refreshTemplate
get,eea,/atom/scan,Scan records for ATOM feeds,Check in the settings which protocol identify ATOM feeds in your catalogue.Only applies to ISO19139 records.,scan
get,eea,/selections,Get current selections,,getSelectionsAndSize
get,eea,/mapservices,Get mapservices,Return the list of mapservices. mapservices are used to identify secured map services.,getMapservices
get,eea,/groups/{groupId}/logo,Get the group logo image.,If last-modified header is present it is used to check if the logo has been modified since the header date. If it hasn't been modified returns an empty 304 Not Modified response. If modified returns the image. If the group has no logo then returns a transparent 1x1 px PNG image.,getGroupLogo
get,eea,/standards/{schema}/codelists/{codelist},Get codelist translations,,getSchemaTranslations
delete,eea,/i18n/cache,Clean translation packages cache.,,cleanTranslationsPackagesCache
put,eea,/site/index,Index,,index_1
get,eea,/languages,Get languages,"Languages for the application having translations in the database. All tables with 'Desc' suffix contains translation for some domain objects like groups, tags, ...",getLanguages
get,eea,/atom/describe/resource,Describe resource,,describeResource
get,eea,/atom/download/resource,Get a data file related to dataset,"This service if a dataset has only 1 download format for a CRS returns the file, otherwise returns a feed with downloads for the dataset.",downloadResource
post,eea,/records/{metadataUuid}/query/{savedQuery},Apply a saved query for this metadata,All parameters will be substituted to the XPath query. eg. {{protocol}} in the XPath expression will be replaced by the protocol parameter provided in the request body.,applyQuery
get,eea,/records/{metadataUuid}/permalink,Get metadata record permalink,"Permalink is by default the landing page formatter but can be configured in the admin console > settings. If the record as a DOI and if enabled in the settings, then it takes priority.",getRecordPermalink
get,eea,/records/{metadataUuid}/extents.png,Get record extents as image,A rendering of the geometry as a png. If no background is specified the image will be transparent. In getMap the envelope of the geometry is calculated then it is expanded by a factor.  That factor is the size of the map.  This allows the map to be slightly bigger than the geometry allowing some context to be shown. This parameter allows different factors to be chosen per scale level.	Proportion is the proportion of the world that the geometry covers (bounds of WGS84)/(bounds of geometry in WGS84)		Named backgrounds allow the background parameter to be a simple key and the complete URL will be looked up from this list of named backgrounds	,getAllRecordExtentAsImage
get,eea,/sitemap,Get sitemap,,getSitemap
get,eea,/regions/geom.png,Get geometry as image,A rendering of the geometry as a png.,getGeomAsImage
get,eea,/site,Get site (or portal) description,,getSiteOrPortalDescription
get,eea,/registries/entries/{uuid},Get a directory entry,Directory entry (AKA subtemplates) are XML fragments that can be inserted in metadata records using XLinks. XLinks can be remote or local.,getEntry
put,eea,/records/{metadataUuid}/publish,Set privileges for ALL group to publish the metadata for all users.,,publish_1
get,eea,/formatters/{schema}/{formatter}/files,Get formatter files,,getFormatterFiles
post,eea,/harvesters/{harvesterUuid}/assign,Assign harvester records to a new source,,assignHarvestedRecordToSource
post,eea,/registries/actions/entries/import/spatial,Import spatial directory entries,Directory entry (AKA subtemplates) are XML fragments that can be inserted in metadata records. Use this service to import geographic extent entries from an ESRI Shapefile format.,importSpatialEntries
